+555590414.0ns;85;14;905;1;128;false;35;00:00:00:00:00:24;35;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:24;35;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+559830454.0ns;67;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:01;0;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:01;0;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-96.3893;true
+560990481.0ns;87;14;905;1;128;false;0;00:00:00:00:00:01;0;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:01;0;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-80.3893;false
+562386468.0ns;76;75;905;1;131;false;78;00:00:00:00:00:4f;78;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:4f;78;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-74.3128;false
+563546482.0ns;88;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-93.646;-90.3128;false
+567578511.0ns;37;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:be;189;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:be;189;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-91.6012;true
+568738527.0ns;90;14;905;1;128;false;189;00:00:00:00:00:be;189;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:be;189;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+572770559.0ns;62;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:0d;12;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:0d;12;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-95.2311;true
+573930583.0ns;92;14;905;1;128;false;12;00:00:00:00:00:0d;12;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:0d;12;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-79.2311;false
+575526593.0ns;38;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:16;21;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:16;21;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-92.5003;true
+576686610.0ns;94;14;905;1;128;false;21;00:00:00:00:00:16;21;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:16;21;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.5003;false
+578282629.0ns;44;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:c0;191;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:c0;191;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-92.8901;true
+579442647.0ns;96;14;905;1;128;false;191;00:00:00:00:00:c0;191;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c0;191;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.8901;false
+583474655.0ns;8;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:73;114;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:73;114;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-86.3252;true
+584634664.0ns;98;14;905;1;128;false;114;00:00:00:00:00:73;114;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:73;114;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-70.3252;false
+586230671.0ns;5;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:81;128;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:81;128;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-85.4508;true
+587390679.0ns;100;14;905;1;128;false;128;00:00:00:00:00:81;128;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:81;128;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-69.4508;false
+588786691.0ns;78;75;905;1;131;false;134;00:00:00:00:00:87;134;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:87;134;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.6596;false
+589946711.0ns;101;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-94.6481;-93.6596;false
+594186723.0ns;40;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:49;72;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:49;72;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-92.1839;true
+595346740.0ns;103;14;905;1;128;false;72;00:00:00:00:00:49;72;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:49;72;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+599378766.0ns;42;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:a3;162;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:a3;162;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-92.1839;true
+600538783.0ns;105;14;905;1;128;false;162;00:00:00:00:00:a3;162;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:a3;162;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+602134788.0ns;18;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:9e;157;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:9e;157;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-87.9787;true
+603294799.0ns;107;14;905;1;128;false;157;00:00:00:00:00:9e;157;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:9e;157;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.9787;false
+607326839.0ns;61;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:c6;197;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:c6;197;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-94.4491;true
+608486861.0ns;109;14;905;1;128;false;197;00:00:00:00:00:c6;197;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c6;197;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-78.4491;false
+612674886.0ns;47;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:06;5;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:06;5;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8892;true
+613834906.0ns;111;14;905;1;128;false;5;00:00:00:00:00:06;5;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:06;5;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8892;false
+618022914.0ns;6;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:53;82;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:53;82;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-86.3252;true
+619182923.0ns;114;14;905;1;128;false;82;00:00:00:00:00:53;82;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:53;82;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-70.3252;false
+623614936.0ns;13;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:45;68;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:45;68;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-88.248;true
+624774947.0ns;116;14;905;1;128;false;68;00:00:00:00:00:45;68;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:45;68;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.248;false
+629046974.0ns;82;75;905;1;131;false;8;00:00:00:00:00:09;8;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:09;8;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.6596;false
+630206994.0ns;117;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-95.9774;-93.6596;false
+631959018.0ns;52;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:78;119;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:78;119;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.5804;true
+633119038.0ns;119;14;905;1;128;false;119;00:00:00:00:00:78;119;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:78;119;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.5804;false
+637359049.0ns;24;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:8b;138;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:8b;138;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-90.3128;true
+638519063.0ns;121;14;905;1;128;false;138;00:00:00:00:00:8b;138;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:8b;138;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-74.3128;false
+640115071.0ns;16;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:83;130;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:83;130;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.248;true
+641275082.0ns;123;14;905;1;128;false;130;00:00:00:00:00:83;130;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:83;130;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.248;false
+645567120.0ns;50;102;905;1;131;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:4c;75;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:4c;75;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8892;true
+646727140.0ns;125;14;905;1;128;false;75;00:00:00:00:00:4c;75;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:4c;75;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8892;false
+648123136.0ns;84;75;905;1;131;false;35;00:00:00:00:00:24;35;00:00:00:00:00:c9;200;00:00:00:00:00:c9;200;00:00:00:00:00:24;35;00:00:00:00:00:c9;200;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-75.6012;false
+649283152.0ns;126;14;905;1;128;false;200;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;00:00:00:00:00:00;4294967295;00:00:00:00:00:c9;200;00:00:00:00:00:00;4294967295;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-91.6012;false
