+0.0ns;STA;0;0.4;0.4;-0.3
+0.0ns;STA;1;1.2;0.4;-0.3
+0.0ns;STA;2;2;0.4;-0.3
+0.0ns;STA;3;2.8;0.4;-0.3
+0.0ns;STA;4;3.6;0.4;-0.3
+0.0ns;STA;5;4.4;0.4;-0.3
+0.0ns;STA;6;5.2;0.4;-0.3
+0.0ns;STA;7;6;0.4;-0.3
+0.0ns;STA;8;6.8;0.4;-0.3
+0.0ns;STA;9;7.6;0.4;-0.3
+0.0ns;STA;10;8.4;0.4;-0.3
+0.0ns;STA;11;9.2;0.4;-0.3
+0.0ns;STA;12;10;0.4;-0.3
+0.0ns;STA;13;10.8;0.4;-0.3
+0.0ns;STA;14;11.6;0.4;-0.3
+0.0ns;STA;15;0.4;1.2;-0.3
+0.0ns;STA;16;1.2;1.2;-0.3
+0.0ns;STA;17;2;1.2;-0.3
+0.0ns;STA;18;2.8;1.2;-0.3
+0.0ns;STA;19;3.6;1.2;-0.3
+0.0ns;STA;20;4.4;1.2;-0.3
+0.0ns;STA;21;5.2;1.2;-0.3
+0.0ns;STA;22;6;1.2;-0.3
+0.0ns;STA;23;6.8;1.2;-0.3
+0.0ns;STA;24;7.6;1.2;-0.3
+0.0ns;STA;25;8.4;1.2;-0.3
+0.0ns;STA;26;9.2;1.2;-0.3
+0.0ns;STA;27;10;1.2;-0.3
+0.0ns;STA;28;10.8;1.2;-0.3
+0.0ns;STA;29;11.6;1.2;-0.3
+0.0ns;STA;30;0.4;2;-0.3
+0.0ns;STA;31;1.2;2;-0.3
+0.0ns;STA;32;2;2;-0.3
+0.0ns;STA;33;2.8;2;-0.3
+0.0ns;STA;34;3.6;2;-0.3
+0.0ns;STA;35;4.4;2;-0.3
+0.0ns;STA;36;5.2;2;-0.3
+0.0ns;STA;37;6;2;-0.3
+0.0ns;STA;38;6.8;2;-0.3
+0.0ns;STA;39;7.6;2;-0.3
+0.0ns;STA;40;8.4;2;-0.3
+0.0ns;STA;41;9.2;2;-0.3
+0.0ns;STA;42;10;2;-0.3
+0.0ns;STA;43;10.8;2;-0.3
+0.0ns;STA;44;11.6;2;-0.3
+0.0ns;STA;45;0.4;2.8;-0.3
+0.0ns;STA;46;1.2;2.8;-0.3
+0.0ns;STA;47;2;2.8;-0.3
+0.0ns;STA;48;2.8;2.8;-0.3
+0.0ns;STA;49;3.6;2.8;-0.3
+0.0ns;STA;50;4.4;2.8;-0.3
+0.0ns;STA;51;5.2;2.8;-0.3
+0.0ns;STA;52;6;2.8;-0.3
+0.0ns;STA;53;6.8;2.8;-0.3
+0.0ns;STA;54;7.6;2.8;-0.3
+0.0ns;STA;55;8.4;2.8;-0.3
+0.0ns;STA;56;9.2;2.8;-0.3
+0.0ns;STA;57;10;2.8;-0.3
+0.0ns;STA;58;10.8;2.8;-0.3
+0.0ns;STA;59;11.6;2.8;-0.3
+0.0ns;STA;60;0.4;3.6;-0.3
+0.0ns;STA;61;1.2;3.6;-0.3
+0.0ns;STA;62;2;3.6;-0.3
+0.0ns;STA;63;2.8;3.6;-0.3
+0.0ns;STA;64;3.6;3.6;-0.3
+0.0ns;STA;65;4.4;3.6;-0.3
