% time	cellId	IMSI	RNTI	rsrp	sinr
0.200214	1	1	0	5.90454e-17	0.124479
0.200214	1	2	0	5.90454e-17	0.124479
0.201214	1	1	0	5.90454e-17	0.124479
0.201214	1	2	0	5.90454e-17	0.124479
0.202214	1	1	0	5.90454e-17	0.124479
0.202214	1	2	0	5.90454e-17	0.124479
0.203214	1	1	0	5.90454e-17	0.124479
0.203214	1	2	0	5.90454e-17	0.124479
0.204214	1	1	0	5.90454e-17	0.124479
0.204214	1	2	0	5.90454e-17	0.124479
0.205214	1	1	0	5.90454e-17	0.124479
0.205214	1	2	0	5.90454e-17	0.124479
0.206214	1	1	0	5.90454e-17	0.124479
0.206214	1	2	0	5.90454e-17	0.124479
0.207214	1	1	0	5.90454e-17	0.124479
0.207214	1	2	0	5.90454e-17	0.124479
0.208214	1	1	0	5.90454e-17	0.124479
0.208214	1	2	0	5.90454e-17	0.124479
0.209214	1	1	0	5.90454e-17	0.124479
0.209214	1	2	0	5.90454e-17	0.124479
0.210214	1	1	0	5.90454e-17	0.124479
0.210214	1	2	0	5.90454e-17	0.124479
0.211214	1	1	0	5.90454e-17	0.124479
0.211214	1	2	0	5.90454e-17	0.124479
0.212214	1	1	0	5.90454e-17	0.124479
0.212214	1	2	0	5.90454e-17	0.124479
0.213214	1	1	0	5.90454e-17	0.124479
0.213214	1	2	0	5.90454e-17	0.124479
0.214214	1	1	0	5.90454e-17	0.124479
0.214214	1	2	0	5.90454e-17	0.124479
0.215214	1	1	0	5.90454e-17	0.124479
0.215214	1	2	0	5.90454e-17	0.124479
0.216214	1	1	0	5.90454e-17	0.124479
0.216214	1	2	0	5.90454e-17	0.124479
0.217214	1	1	0	5.90454e-17	0.124479
0.217214	1	2	0	5.90454e-17	0.124479
0.218214	1	1	0	5.90454e-17	0.124479
0.218214	1	2	0	5.90454e-17	0.124479
0.219214	1	1	0	5.90454e-17	0.124479
0.219214	1	2	0	5.90454e-17	0.124479
0.220214	1	1	0	5.90454e-17	0.124479
0.220214	1	2	0	5.90454e-17	0.124479
0.221214	1	1	0	5.90454e-17	0.124479
0.221214	1	2	0	5.90454e-17	0.124479
0.222214	1	1	0	5.90454e-17	0.124479
0.222214	1	2	0	5.90454e-17	0.124479
0.223214	1	1	0	5.90454e-17	0.124479
0.223214	1	2	0	5.90454e-17	0.124479
0.224214	1	1	0	5.90454e-17	0.124479
0.224214	1	2	0	5.90454e-17	0.124479
0.225214	1	1	0	5.90454e-17	0.124479
0.225214	1	2	0	5.90454e-17	0.124479
0.226214	1	1	0	5.90454e-17	0.124479
0.226214	1	2	0	5.90454e-17	0.124479
0.227214	1	1	0	5.90454e-17	0.124479
0.227214	1	2	0	5.90454e-17	0.124479
0.228214	1	1	0	5.90454e-17	0.124479
0.228214	1	2	0	5.90454e-17	0.124479
0.229214	1	1	0	5.90454e-17	0.124479
0.229214	1	2	0	5.90454e-17	0.124479
0.230214	1	1	0	5.90454e-17	0.124479
0.230214	1	2	0	5.90454e-17	0.124479
0.231214	1	1	0	5.90454e-17	0.124479
0.231214	1	2	0	5.90454e-17	0.124479
0.232214	1	1	0	5.90454e-17	0.124479
0.232214	1	2	0	5.90454e-17	0.124479
0.233214	1	1	0	5.90454e-17	0.124479
0.233214	1	2	0	5.90454e-17	0.124479
0.234214	1	1	0	5.90454e-17	0.124479
0.234214	1	2	0	5.90454e-17	0.124479
0.235214	1	1	0	5.90454e-17	0.124479
0.235214	1	2	0	5.90454e-17	0.124479
0.236214	1	1	0	5.90454e-17	0.124479
0.236214	1	2	0	5.90454e-17	0.124479
0.237214	1	1	0	5.90454e-17	0.124479
0.237214	1	2	0	5.90454e-17	0.124479
0.238214	1	1	0	5.90454e-17	0.124479
0.238214	1	2	0	5.90454e-17	0.124479
0.239214	1	1	0	5.90454e-17	0.124479
0.239214	1	2	0	5.90454e-17	0.124479
0.240214	1	1	0	5.90454e-17	0.124479
0.240214	1	2	0	5.90454e-17	0.124479
0.241214	1	1	0	5.90454e-17	0.124479
0.241214	1	2	0	5.90454e-17	0.124479
0.242214	1	1	0	5.90454e-17	0.124479
0.242214	1	2	0	5.90454e-17	0.124479
0.243214	1	1	0	5.90454e-17	0.124479
0.243214	1	2	0	5.90454e-17	0.124479
0.244214	1	1	0	5.90454e-17	0.124479
0.244214	1	2	0	5.90454e-17	0.124479
0.245214	1	1	0	5.90454e-17	0.124479
0.245214	1	2	0	5.90454e-17	0.124479
0.246214	1	1	0	5.90454e-17	0.124479
0.246214	1	2	0	5.90454e-17	0.124479
0.247214	1	1	0	5.90454e-17	0.124479
0.247214	1	2	0	5.90454e-17	0.124479
0.248214	1	1	0	5.90454e-17	0.124479
0.248214	1	2	0	5.90454e-17	0.124479
0.249214	1	1	0	5.90454e-17	0.124479
0.249214	1	2	0	5.90454e-17	0.124479
0.250214	1	1	0	5.90454e-17	0.124479
0.250214	1	2	0	5.90454e-17	0.124479
0.251214	1	1	0	5.90454e-17	0.124479
0.251214	1	2	0	5.90454e-17	0.124479
0.252214	1	1	0	5.90454e-17	0.124479
0.252214	1	2	0	5.90454e-17	0.124479
0.253214	1	1	0	5.90454e-17	0.124479
0.253214	1	2	0	5.90454e-17	0.124479
0.254214	1	1	0	5.90454e-17	0.124479
0.254214	1	2	0	5.90454e-17	0.124479
0.255214	1	1	0	5.90454e-17	0.124479
0.255214	1	2	0	5.90454e-17	0.124479
0.256214	1	1	0	5.90454e-17	0.124479
0.256214	1	2	0	5.90454e-17	0.124479
0.257214	1	1	0	5.90454e-17	0.124479
0.257214	1	2	0	5.90454e-17	0.124479
0.258214	1	1	0	5.90454e-17	0.124479
0.258214	1	2	0	5.90454e-17	0.124479
0.259214	1	1	0	5.90454e-17	0.124479
0.259214	1	2	0	5.90454e-17	0.124479
0.260214	1	1	0	5.90454e-17	0.124479
0.260214	1	2	0	5.90454e-17	0.124479
0.261214	1	1	0	5.90454e-17	0.124479
0.261214	1	2	0	5.90454e-17	0.124479
0.262214	1	1	0	5.90454e-17	0.124479
0.262214	1	2	0	5.90454e-17	0.124479
0.263214	1	1	0	5.90454e-17	0.124479
0.263214	1	2	0	5.90454e-17	0.124479
0.264214	1	1	0	5.90454e-17	0.124479
0.264214	1	2	0	5.90454e-17	0.124479
0.265214	1	1	0	5.90454e-17	0.124479
0.265214	1	2	0	5.90454e-17	0.124479
0.266214	1	1	0	5.90454e-17	0.124479
0.266214	1	2	0	5.90454e-17	0.124479
0.267214	1	1	0	5.90454e-17	0.124479
0.267214	1	2	0	5.90454e-17	0.124479
0.268214	1	1	0	5.90454e-17	0.124479
0.268214	1	2	0	5.90454e-17	0.124479
0.269214	1	1	0	5.90454e-17	0.124479
0.269214	1	2	0	5.90454e-17	0.124479
0.270214	1	1	0	5.90454e-17	0.124479
0.270214	1	2	0	5.90454e-17	0.124479
0.271214	1	1	0	5.90454e-17	0.124479
0.271214	1	2	0	5.90454e-17	0.124479
0.272214	1	1	0	5.90454e-17	0.124479
0.272214	1	2	0	5.90454e-17	0.124479
0.273214	1	1	0	5.90454e-17	0.124479
0.273214	1	2	0	5.90454e-17	0.124479
0.274214	1	1	0	5.90454e-17	0.124479
0.274214	1	2	0	5.90454e-17	0.124479
0.275214	1	1	0	5.90454e-17	0.124479
0.275214	1	2	0	5.90454e-17	0.124479
0.276214	1	1	0	5.90454e-17	0.124479
0.276214	1	2	0	5.90454e-17	0.124479
0.277214	1	1	0	5.90454e-17	0.124479
0.277214	1	2	0	5.90454e-17	0.124479
0.278214	1	1	0	5.90454e-17	0.124479
0.278214	1	2	0	5.90454e-17	0.124479
0.279214	1	1	0	5.90454e-17	0.124479
0.279214	1	2	0	5.90454e-17	0.124479
0.280214	1	1	0	5.90454e-17	0.124479
0.280214	1	2	0	5.90454e-17	0.124479
0.281214	1	1	0	5.90454e-17	0.124479
0.281214	1	2	0	5.90454e-17	0.124479
