+0.0ns;/NodeList/55/$ns3::MobilityModel/CourseChange;STA;55;8.4;2.8;-0.3
+0.0ns;/NodeList/56/$ns3::MobilityModel/CourseChange;STA;56;9.2;2.8;-0.3
+0.0ns;/NodeList/57/$ns3::MobilityModel/CourseChange;STA;57;10;2.8;-0.3
+0.0ns;/NodeList/58/$ns3::MobilityModel/CourseChange;STA;58;10.8;2.8;-0.3
+0.0ns;/NodeList/59/$ns3::MobilityModel/CourseChange;STA;59;11.6;2.8;-0.3
+0.0ns;/NodeList/60/$ns3::MobilityModel/CourseChange;STA;60;0.4;3.6;-0.3
+0.0ns;/NodeList/61/$ns3::MobilityModel/CourseChange;STA;61;1.2;3.6;-0.3
+0.0ns;/NodeList/62/$ns3::MobilityModel/CourseChange;STA;62;2;3.6;-0.3
+0.0ns;/NodeList/63/$ns3::MobilityModel/CourseChange;STA;63;2.8;3.6;-0.3
+0.0ns;/NodeList/64/$ns3::MobilityModel/CourseChange;STA;64;3.6;3.6;-0.3
+0.0ns;/NodeList/65/$ns3::MobilityModel/CourseChange;STA;65;4.4;3.6;-0.3
+0.0ns;/NodeList/66/$ns3::MobilityModel/CourseChange;STA;66;5.2;3.6;-0.3
+0.0ns;/NodeList/67/$ns3::MobilityModel/CourseChange;STA;67;6;3.6;-0.3
+0.0ns;/NodeList/68/$ns3::MobilityModel/CourseChange;STA;68;6.8;3.6;-0.3
+0.0ns;/NodeList/69/$ns3::MobilityModel/CourseChange;STA;69;7.6;3.6;-0.3
+0.0ns;/NodeList/70/$ns3::MobilityModel/CourseChange;STA;70;8.4;3.6;-0.3
+0.0ns;/NodeList/71/$ns3::MobilityModel/CourseChange;STA;71;9.2;3.6;-0.3
+0.0ns;/NodeList/72/$ns3::MobilityModel/CourseChange;STA;72;10;3.6;-0.3
+0.0ns;/NodeList/73/$ns3::MobilityModel/CourseChange;STA;73;10.8;3.6;-0.3
+0.0ns;/NodeList/74/$ns3::MobilityModel/CourseChange;STA;74;11.6;3.6;-0.3
+0.0ns;/NodeList/75/$ns3::MobilityModel/CourseChange;STA;75;0.4;4.4;-0.3
+0.0ns;/NodeList/76/$ns3::MobilityModel/CourseChange;STA;76;1.2;4.4;-0.3
+0.0ns;/NodeList/77/$ns3::MobilityModel/CourseChange;STA;77;2;4.4;-0.3
+0.0ns;/NodeList/78/$ns3::MobilityModel/CourseChange;STA;78;2.8;4.4;-0.3
+0.0ns;/NodeList/79/$ns3::MobilityModel/CourseChange;STA;79;3.6;4.4;-0.3
+0.0ns;/NodeList/80/$ns3::MobilityModel/CourseChange;STA;80;4.4;4.4;-0.3
+0.0ns;/NodeList/81/$ns3::MobilityModel/CourseChange;STA;81;5.2;4.4;-0.3
+0.0ns;/NodeList/82/$ns3::MobilityModel/CourseChange;STA;82;6;4.4;-0.3
+0.0ns;/NodeList/83/$ns3::MobilityModel/CourseChange;STA;83;6.8;4.4;-0.3
+0.0ns;/NodeList/84/$ns3::MobilityModel/CourseChange;STA;84;7.6;4.4;-0.3
+0.0ns;/NodeList/85/$ns3::MobilityModel/CourseChange;STA;85;8.4;4.4;-0.3
+0.0ns;/NodeList/86/$ns3::MobilityModel/CourseChange;STA;86;9.2;4.4;-0.3
+0.0ns;/NodeList/87/$ns3::MobilityModel/CourseChange;STA;87;10;4.4;-0.3
+0.0ns;/NodeList/88/$ns3::MobilityModel/CourseChange;STA;88;10.8;4.4;-0.3
+0.0ns;/NodeList/89/$ns3::MobilityModel/CourseChange;STA;89;11.6;4.4;-0.3
+0.0ns;/NodeList/90/$ns3::MobilityModel/CourseChange;STA;90;0.4;5.2;-0.3
+0.0ns;/NodeList/91/$ns3::MobilityModel/CourseChange;STA;91;1.2;5.2;-0.3
+0.0ns;/NodeList/92/$ns3::MobilityModel/CourseChange;STA;92;2;5.2;-0.3
+0.0ns;/NodeList/93/$ns3::MobilityModel/CourseChange;STA;93;2.8;5.2;-0.3
