+595346740.0ns;103;905;1;128;false;72;4294967295;72;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+599378766.0ns;42;905;1;131;false;200;162;200;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-92.1839;true
+600538783.0ns;105;905;1;128;false;162;4294967295;162;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-76.1839;false
+602134788.0ns;18;905;1;131;false;200;157;200;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-87.9787;true
+603294799.0ns;107;905;1;128;false;157;4294967295;157;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-71.9787;false
+607326839.0ns;61;905;1;131;false;200;197;200;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-94.4491;true
+608486861.0ns;109;905;1;128;false;197;4294967295;197;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-78.4491;false
+612674886.0ns;47;905;1;131;false;200;5;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.8892;true
+613834906.0ns;111;905;1;128;false;5;4294967295;5;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.8892;false
+618022914.0ns;6;905;1;131;false;200;82;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-86.3252;true
+619182923.0ns;114;905;1;128;false;82;4294967295;82;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-70.3252;false
+623614936.0ns;13;905;1;131;false;200;68;200;OfdmRate1_2MbpsBW1MHz;1;0;1;false;false;0;-113.976;-88.248;true
+624774947.0ns;116;905;1;128;false;68;4294967295;68;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.248;false
+629046974.0ns;82;905;1;131;false;8;200;8;OfdmRate1_2MbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.6596;false
+630206994.0ns;117;905;1;128;false;200;4294967295;200;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-95.9774;-93.6596;false
+631959018.0ns;52;905;1;131;false;200;119;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-93.5804;true
+633119038.0ns;119;905;1;128;false;119;4294967295;119;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-77.5804;false
+637359049.0ns;24;905;1;131;false;200;138;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-90.3128;true
+638519063.0ns;121;905;1;128;false;138;4294967295;138;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-74.3128;false
+640115071.0ns;16;905;1;131;false;200;130;200;OfdmRate1_2MbpsBW1MHz;2;0;1;false;false;0;-113.976;-88.248;true
+641275082.0ns;123;905;1;128;false;130;4294967295;130;OfdmRate300KbpsBW1MHz;0;0;1;false;false;0;-113.976;-72.248;false
